Unnamed: 0,ZipCode,OZONE_AQI,PM2.5_AQI,Year,DataSource,Category,Measure,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text
1,2108,31.565934065934066,43.07988980716254,2018,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,Crude prevalence,30.7,29.6,31.8,3825,POINT (-71.0661905 42.35789571),2108,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours
2,2108,31.304469273743017,34.99452054794521,2019,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,Crude prevalence,9.3,9.0,9.8,3825,POINT (-71.0661905 42.35789571),2108,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2,2108,31.304469273743017,34.99452054794521,2019,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,Crude prevalence,19.4,18.8,20.1,3825,POINT (-71.0661905 42.35789571),2108,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
2,2108,31.304469273743017,34.99452054794521,2019,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,Crude prevalence,10.9,10.0,12.1,3825,POINT (-71.0661905 42.35789571),2108,HLTHSTAT,MHLTH,CrdPrv,Mental Health
2,2108,31.304469273743017,34.99452054794521,2019,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,Crude prevalence,1.7,1.6,1.9,3825,POINT (-71.0661905 42.35789571),2108,HLTHOUT,STROKE,CrdPrv,Stroke
2,2108,31.304469273743017,34.99452054794521,2019,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,Crude prevalence,1.8,1.7,1.9,3825,POINT (-71.0661905 42.35789571),2108,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease
2,2108,31.304469273743017,34.99452054794521,2019,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,Crude prevalence,3.6,3.4,3.9,3825,POINT (-71.0661905 42.35789571),2108,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease
2,2108,31.304469273743017,34.99452054794521,2019,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,Crude prevalence,5.1,4.8,5.4,3825,POINT (-71.0661905 42.35789571),2108,HLTHOUT,DIABETES,CrdPrv,Diabetes
2,2108,31.304469273743017,34.99452054794521,2019,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,Crude prevalence,3.0,2.7,3.6,3825,POINT (-71.0661905 42.35789571),2108,HLTHOUT,COPD,CrdPrv,COPD
2,2108,31.304469273743017,34.99452054794521,2019,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,Crude prevalence,6.0,5.8,6.3,3825,POINT (-71.0661905 42.35789571),2108,HLTHOUT,CANCER,CrdPrv,Cancer (except skin)
6,2109,31.565934065934066,43.07988980716254,2018,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,Crude prevalence,32.2,31.0,33.4,3771,POINT (-71.05394458 42.35982634),2109,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours
7,2109,31.304469273743017,34.99452054794521,2019,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,Crude prevalence,6.2,6.0,6.4,3771,POINT (-71.05394458 42.35982634),2109,HLTHOUT,CANCER,CrdPrv,Cancer (except skin)
7,2109,31.304469273743017,34.99452054794521,2019,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,Crude prevalence,5.5,5.1,5.8,3771,POINT (-71.05394458 42.35982634),2109,HLTHOUT,DIABETES,CrdPrv,Diabetes
7,2109,31.304469273743017,34.99452054794521,2019,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,Crude prevalence,3.5,3.0,4.0,3771,POINT (-71.05394458 42.35982634),2109,HLTHOUT,COPD,CrdPrv,COPD
7,2109,31.304469273743017,34.99452054794521,2019,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,Crude prevalence,4.0,3.7,4.3,3771,POINT (-71.05394458 42.35982634),2109,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease
7,2109,31.304469273743017,34.99452054794521,2019,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,Crude prevalence,1.9,1.8,2.1,3771,POINT (-71.05394458 42.35982634),2109,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease
7,2109,31.304469273743017,34.99452054794521,2019,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,Crude prevalence,20.1,19.5,20.8,3771,POINT (-71.05394458 42.35982634),2109,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
7,2109,31.304469273743017,34.99452054794521,2019,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,Crude prevalence,9.3,8.9,9.6,3771,POINT (-71.05394458 42.35982634),2109,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
7,2109,31.304469273743017,34.99452054794521,2019,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,Crude prevalence,11.5,10.6,12.6,3771,POINT (-71.05394458 42.35982634),2109,HLTHSTAT,MHLTH,CrdPrv,Mental Health
7,2109,31.304469273743017,34.99452054794521,2019,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,Crude prevalence,1.9,1.8,2.2,3771,POINT (-71.05394458 42.35982634),2109,HLTHOUT,STROKE,CrdPrv,Stroke
11,2110,31.565934065934066,43.07988980716254,2018,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,Crude prevalence,32.0,30.6,33.5,1733,POINT (-71.05443097 42.35535152),2110,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours
12,2110,31.304469273743017,34.99452054794521,2019,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,Crude prevalence,11.2,10.1,12.4,1733,POINT (-71.05443097 42.35535152),2110,HLTHSTAT,MHLTH,CrdPrv,Mental Health
12,2110,31.304469273743017,34.99452054794521,2019,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,Crude prevalence,28.4,27.1,29.8,1733,POINT (-71.05443097 42.35535152),2110,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
12,2110,31.304469273743017,34.99452054794521,2019,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,Crude prevalence,3.0,2.6,3.4,1733,POINT (-71.05443097 42.35535152),2110,HLTHOUT,STROKE,CrdPrv,Stroke
12,2110,31.304469273743017,34.99452054794521,2019,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,Crude prevalence,9.6,9.1,10.1,1733,POINT (-71.05443097 42.35535152),2110,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
12,2110,31.304469273743017,34.99452054794521,2019,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,Crude prevalence,5.3,4.4,6.5,1733,POINT (-71.05443097 42.35535152),2110,HLTHOUT,COPD,CrdPrv,COPD
12,2110,31.304469273743017,34.99452054794521,2019,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,Crude prevalence,8.7,8.3,9.2,1733,POINT (-71.05443097 42.35535152),2110,HLTHOUT,CANCER,CrdPrv,Cancer (except skin)
12,2110,31.304469273743017,34.99452054794521,2019,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,Crude prevalence,8.6,7.8,9.5,1733,POINT (-71.05443097 42.35535152),2110,HLTHOUT,DIABETES,CrdPrv,Diabetes
12,2110,31.304469273743017,34.99452054794521,2019,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,Crude prevalence,2.8,2.6,3.0,1733,POINT (-71.05443097 42.35535152),2110,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease
12,2110,31.304469273743017,34.99452054794521,2019,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,Crude prevalence,6.4,5.7,7.2,1733,POINT (-71.05443097 42.35535152),2110,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease
16,2111,31.565934065934066,43.07988980716254,2018,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,Crude prevalence,37.8,36.6,39.0,7383,POINT (-71.05910467 42.35013318),2111,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours
17,2111,31.304469273743017,34.99452054794521,2019,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,Crude prevalence,4.5,4.3,4.6,7383,POINT (-71.05910467 42.35013318),2111,HLTHOUT,CANCER,CrdPrv,Cancer (except skin)
17,2111,31.304469273743017,34.99452054794521,2019,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,Crude prevalence,9.1,8.6,9.7,7383,POINT (-71.05910467 42.35013318),2111,HLTHOUT,DIABETES,CrdPrv,Diabetes
17,2111,31.304469273743017,34.99452054794521,2019,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,Crude prevalence,23.0,22.3,23.7,7383,POINT (-71.05910467 42.35013318),2111,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
17,2111,31.304469273743017,34.99452054794521,2019,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,Crude prevalence,4.7,4.3,5.0,7383,POINT (-71.05910467 42.35013318),2111,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease
17,2111,31.304469273743017,34.99452054794521,2019,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,Crude prevalence,14.1,12.8,15.5,7383,POINT (-71.05910467 42.35013318),2111,HLTHSTAT,MHLTH,CrdPrv,Mental Health
17,2111,31.304469273743017,34.99452054794521,2019,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,Crude prevalence,2.3,2.2,2.4,7383,POINT (-71.05910467 42.35013318),2111,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease
17,2111,31.304469273743017,34.99452054794521,2019,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,Crude prevalence,2.5,2.3,2.8,7383,POINT (-71.05910467 42.35013318),2111,HLTHOUT,STROKE,CrdPrv,Stroke
17,2111,31.304469273743017,34.99452054794521,2019,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,Crude prevalence,9.3,8.8,9.9,7383,POINT (-71.05910467 42.35013318),2111,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
17,2111,31.304469273743017,34.99452054794521,2019,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,Crude prevalence,4.3,3.8,4.7,7383,POINT (-71.05910467 42.35013318),2111,HLTHOUT,COPD,CrdPrv,COPD
21,2113,31.565934065934066,43.07988980716254,2018,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,Crude prevalence,30.8,29.8,32.1,6915,POINT (-71.05523575 42.36533484),2113,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours
22,2113,31.304469273743017,34.99452054794521,2019,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,Crude prevalence,12.4,11.4,13.6,6915,POINT (-71.05523575 42.36533484),2113,HLTHSTAT,MHLTH,CrdPrv,Mental Health
22,2113,31.304469273743017,34.99452054794521,2019,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,Crude prevalence,1.2,1.1,1.3,6915,POINT (-71.05523575 42.36533484),2113,HLTHOUT,STROKE,CrdPrv,Stroke
22,2113,31.304469273743017,34.99452054794521,2019,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,Crude prevalence,1.3,1.3,1.4,6915,POINT (-71.05523575 42.36533484),2113,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease
22,2113,31.304469273743017,34.99452054794521,2019,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,Crude prevalence,9.7,9.3,10.1,6915,POINT (-71.05523575 42.36533484),2113,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
22,2113,31.304469273743017,34.99452054794521,2019,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,Crude prevalence,2.5,2.3,2.6,6915,POINT (-71.05523575 42.36533484),2113,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease
22,2113,31.304469273743017,34.99452054794521,2019,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,Crude prevalence,4.5,4.4,4.6,6915,POINT (-71.05523575 42.36533484),2113,HLTHOUT,CANCER,CrdPrv,Cancer (except skin)
22,2113,31.304469273743017,34.99452054794521,2019,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,Crude prevalence,2.3,2.1,2.6,6915,POINT (-71.05523575 42.36533484),2113,HLTHOUT,COPD,CrdPrv,COPD
22,2113,31.304469273743017,34.99452054794521,2019,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,Crude prevalence,3.2,3.0,3.3,6915,POINT (-71.05523575 42.36533484),2113,HLTHOUT,DIABETES,CrdPrv,Diabetes
22,2113,31.304469273743017,34.99452054794521,2019,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,Crude prevalence,13.7,13.4,14.2,6915,POINT (-71.05523575 42.36533484),2113,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
26,2114,31.565934065934066,43.07988980716254,2018,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,Crude prevalence,32.3,31.5,33.1,11999,POINT (-71.06730799 42.3631516),2114,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours
27,2114,31.304469273743017,34.99452054794521,2019,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,Crude prevalence,4.3,4.1,4.5,11999,POINT (-71.06730799 42.3631516),2114,HLTHOUT,DIABETES,CrdPrv,Diabetes
27,2114,31.304469273743017,34.99452054794521,2019,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,Crude prevalence,16.3,16.0,16.7,11999,POINT (-71.06730799 42.3631516),2114,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
