"Label (Grouping)","ZCTA5 02118!!Households!!Estimate","ZCTA5 02118!!Households!!Margin of Error","ZCTA5 02118!!Families!!Estimate","ZCTA5 02118!!Families!!Margin of Error","ZCTA5 02118!!Married-couple families!!Estimate","ZCTA5 02118!!Married-couple families!!Margin of Error","ZCTA5 02118!!Nonfamily households!!Estimate","ZCTA5 02118!!Nonfamily households!!Margin of Error","ZCTA5 02119!!Households!!Estimate","ZCTA5 02119!!Households!!Margin of Error","ZCTA5 02119!!Families!!Estimate","ZCTA5 02119!!Families!!Margin of Error","ZCTA5 02119!!Married-couple families!!Estimate","ZCTA5 02119!!Married-couple families!!Margin of Error","ZCTA5 02119!!Nonfamily households!!Estimate","ZCTA5 02119!!Nonfamily households!!Margin of Error","ZCTA5 02121!!Households!!Estimate","ZCTA5 02121!!Households!!Margin of Error","ZCTA5 02121!!Families!!Estimate","ZCTA5 02121!!Families!!Margin of Error","ZCTA5 02121!!Married-couple families!!Estimate","ZCTA5 02121!!Married-couple families!!Margin of Error","ZCTA5 02121!!Nonfamily households!!Estimate","ZCTA5 02121!!Nonfamily households!!Margin of Error","ZCTA5 02125!!Households!!Estimate","ZCTA5 02125!!Households!!Margin of Error","ZCTA5 02125!!Families!!Estimate","ZCTA5 02125!!Families!!Margin of Error","ZCTA5 02125!!Married-couple families!!Estimate","ZCTA5 02125!!Married-couple families!!Margin of Error","ZCTA5 02125!!Nonfamily households!!Estimate","ZCTA5 02125!!Nonfamily households!!Margin of Error","ZCTA5 02215!!Households!!Estimate","ZCTA5 02215!!Households!!Margin of Error","ZCTA5 02215!!Families!!Estimate","ZCTA5 02215!!Families!!Margin of Error","ZCTA5 02215!!Married-couple families!!Estimate","ZCTA5 02215!!Married-couple families!!Margin of Error","ZCTA5 02215!!Nonfamily households!!Estimate","ZCTA5 02215!!Nonfamily households!!Margin of Error"
"Total","13,672","±658","5,395","±417","3,544","±367","8,277","±709","11,738","±681","5,656","±517","2,208","±369","6,082","±597","10,740","±739","6,651","±655","2,290","±487","4,089","±469","13,063","±506","6,784","±432","3,483","±401","6,279","±416","8,055","±632","1,749","±245","1,371","±220","6,306","±640"
"    Less than $10,000","12.9%","±2.9","8.6%","±2.9","3.2%","±2.8","15.9%","±4.2","21.1%","±3.2","12.3%","±4.2","2.9%","±2.1","29.5%","±5.0","14.4%","±3.4","11.8%","±4.4","11.7%","±11.8","18.8%","±4.6","11.0%","±2.0","6.1%","±2.4","4.9%","±3.2","17.3%","±3.5","21.1%","±3.3","4.6%","±3.0","2.2%","±2.7","25.8%","±4.4"
"    $10,000 to $14,999","9.1%","±2.9","3.4%","±1.5","2.7%","±1.5","12.7%","±4.5","10.9%","±2.1","4.5%","±2.2","4.7%","±4.2","16.9%","±3.6","9.1%","±2.1","5.7%","±2.3","1.5%","±1.5","14.7%","±4.3","8.4%","±1.8","7.1%","±2.6","4.0%","±3.2","10.0%","±2.5","6.3%","±2.1","3.8%","±4.1","4.6%","±5.3","7.0%","±2.5"
"    $15,000 to $24,999","11.0%","±2.4","10.3%","±4.1","8.9%","±4.6","11.4%","±3.2","12.2%","±2.9","11.5%","±4.5","9.6%","±8.3","12.6%","±3.8","13.2%","±3.3","13.8%","±4.0","8.7%","±6.7","13.3%","±5.2","10.7%","±1.8","10.4%","±2.7","4.9%","±2.0","10.4%","±3.0","5.4%","±1.5","4.7%","±3.1","3.4%","±2.7","5.4%","±1.7"
"    $25,000 to $34,999","4.0%","±1.6","5.2%","±2.6","3.2%","±2.8","3.2%","±2.0","7.1%","±1.9","10.0%","±3.2","7.0%","±4.1","5.1%","±2.0","12.7%","±2.7","12.0%","±3.5","6.8%","±3.9","14.4%","±4.5","6.1%","±1.2","5.7%","±1.8","4.2%","±2.0","6.3%","±1.9","6.0%","±1.7","5.0%","±3.5","5.6%","±4.1","6.4%","±2.2"
"    $35,000 to $49,999","8.0%","±2.4","9.6%","±3.9","7.3%","±3.9","7.0%","±3.0","13.8%","±2.6","13.1%","±3.5","11.9%","±4.5","14.9%","±4.2","7.8%","±2.3","9.6%","±3.1","6.1%","±4.5","5.2%","±2.8","9.3%","±1.8","10.9%","±2.7","9.4%","±4.4","7.8%","±2.3","9.3%","±3.0","11.1%","±10.3","4.9%","±4.3","8.8%","±2.6"
"    $50,000 to $74,999","9.7%","±2.4","8.7%","±3.3","6.2%","±3.6","10.3%","±2.9","11.4%","±2.3","13.8%","±4.0","16.2%","±7.0","9.2%","±2.7","13.4%","±2.6","13.2%","±3.4","13.0%","±5.8","14.3%","±4.7","11.6%","±2.1","13.4%","±2.7","10.8%","±3.5","10.3%","±2.8","10.7%","±2.4","9.4%","±4.5","6.1%","±3.5","11.1%","±2.9"
"    $75,000 to $99,999","5.8%","±1.3","6.0%","±2.0","3.0%","±1.4","5.7%","±1.9","7.2%","±2.2","10.3%","±3.8","8.4%","±4.3","3.6%","±1.5","7.6%","±1.9","11.1%","±3.7","13.4%","±7.9","5.2%","±2.6","9.9%","±2.1","13.6%","±3.6","17.1%","±5.7","6.3%","±1.9","10.8%","±4.5","9.8%","±4.6","10.7%","±5.0","10.9%","±5.6"
"    $100,000 to $149,999","8.8%","±1.4","9.6%","±2.9","11.6%","±3.2","8.6%","±1.9","9.4%","±2.0","14.5%","±3.6","16.9%","±5.4","5.1%","±1.7","11.2%","±3.0","10.9%","±3.3","15.0%","±6.8","8.1%","±3.5","14.8%","±2.1","15.2%","±2.9","21.0%","±4.8","13.4%","±3.2","13.5%","±3.9","11.3%","±4.2","13.5%","±5.1","14.1%","±5.1"
"    $150,000 to $199,999","9.9%","±2.1","8.3%","±2.6","11.2%","±3.7","10.9%","±3.0","4.1%","±1.4","6.3%","±2.6","14.9%","±5.9","1.4%","±0.8","4.5%","±2.0","4.4%","±2.1","5.5%","±4.2","2.5%","±2.8","9.6%","±1.6","8.4%","±2.2","11.2%","±3.3","10.3%","±2.6","8.5%","±2.1","15.8%","±6.4","18.8%","±7.6","6.5%","±2.3"
"    $200,000 or more","20.8%","±2.5","30.2%","±4.1","42.6%","±5.3","14.3%","±2.8","2.8%","±1.1","3.8%","±1.9","7.5%","±4.5","1.6%","±1.2","6.1%","±3.1","7.5%","±4.5","18.3%","±11.6","3.5%","±3.4","8.6%","±1.5","9.1%","±2.2","12.6%","±3.5","7.9%","±2.1","8.4%","±2.4","24.4%","±8.5","30.1%","±9.7","4.0%","±2.0"
"Median income (dollars)","62,850","±9,935","86,492","±32,484","159,699","±30,196","49,583","±10,040","32,424","±5,167","48,566","±5,053","71,198","±20,443","18,548","±5,080","36,479","±5,913","45,596","±9,739","82,681","±31,517","27,709","±4,499","60,862","±7,336","66,626","±7,518","87,247","±15,909","44,424","±9,984","55,468","±9,372","110,250","±32,027","144,844","±37,973","42,647","±11,231"
"Mean income (dollars)","136,215","±11,581","191,166","±21,641","N","N","98,561","±11,134","53,861","±4,395","70,855","±8,106","N","N","36,077","±4,370","64,890","±7,553","69,228","±8,860","N","N","52,677","±13,402","86,598","±5,891","91,790","±7,778","N","N","78,687","±7,842","85,058","±8,565","147,113","±26,572","N","N","67,735","±8,934"
"PERCENT ALLOCATED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Household income in the past 12 months","36.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","45.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","51.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","43.5%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","24.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","38.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","51.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","58.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","48.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","38.5%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","34.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","39.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","41.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","36.5%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","21.0%","(X)"
