"Label (Grouping)","ZCTA5 02118!!Households!!Estimate","ZCTA5 02118!!Households!!Margin of Error","ZCTA5 02118!!Families!!Estimate","ZCTA5 02118!!Families!!Margin of Error","ZCTA5 02118!!Married-couple families!!Estimate","ZCTA5 02118!!Married-couple families!!Margin of Error","ZCTA5 02118!!Nonfamily households!!Estimate","ZCTA5 02118!!Nonfamily households!!Margin of Error","ZCTA5 02119!!Households!!Estimate","ZCTA5 02119!!Households!!Margin of Error","ZCTA5 02119!!Families!!Estimate","ZCTA5 02119!!Families!!Margin of Error","ZCTA5 02119!!Married-couple families!!Estimate","ZCTA5 02119!!Married-couple families!!Margin of Error","ZCTA5 02119!!Nonfamily households!!Estimate","ZCTA5 02119!!Nonfamily households!!Margin of Error","ZCTA5 02121!!Households!!Estimate","ZCTA5 02121!!Households!!Margin of Error","ZCTA5 02121!!Families!!Estimate","ZCTA5 02121!!Families!!Margin of Error","ZCTA5 02121!!Married-couple families!!Estimate","ZCTA5 02121!!Married-couple families!!Margin of Error","ZCTA5 02121!!Nonfamily households!!Estimate","ZCTA5 02121!!Nonfamily households!!Margin of Error","ZCTA5 02125!!Households!!Estimate","ZCTA5 02125!!Households!!Margin of Error","ZCTA5 02125!!Families!!Estimate","ZCTA5 02125!!Families!!Margin of Error","ZCTA5 02125!!Married-couple families!!Estimate","ZCTA5 02125!!Married-couple families!!Margin of Error","ZCTA5 02125!!Nonfamily households!!Estimate","ZCTA5 02125!!Nonfamily households!!Margin of Error","ZCTA5 02215!!Households!!Estimate","ZCTA5 02215!!Households!!Margin of Error","ZCTA5 02215!!Families!!Estimate","ZCTA5 02215!!Families!!Margin of Error","ZCTA5 02215!!Married-couple families!!Estimate","ZCTA5 02215!!Married-couple families!!Margin of Error","ZCTA5 02215!!Nonfamily households!!Estimate","ZCTA5 02215!!Nonfamily households!!Margin of Error"
"Total","13,193","±350","5,380","±342","3,438","±337","7,813","±375","11,570","±368","5,936","±432","2,160","±253","5,634","±428","10,666","±359","6,459","±360","1,745","±280","4,207","±364","12,705","±354","6,434","±363","3,285","±356","6,271","±431","7,845","±326","1,728","±277","1,300","±213","6,117","±343"
"    Less than $10,000","13.3%","±2.1","9.0%","±2.5","1.9%","±1.4","16.5%","±3.4","22.1%","±2.8","14.5%","±4.0","3.5%","±2.1","30.4%","±5.3","15.8%","±3.1","12.6%","±3.2","3.2%","±3.7","21.8%","±5.6","10.6%","±1.8","4.4%","±1.4","1.8%","±1.3","17.9%","±3.1","21.6%","±3.0","5.1%","±3.0","2.3%","±2.2","26.4%","±3.6"
"    $10,000 to $14,999","7.3%","±1.8","4.3%","±1.8","2.7%","±1.5","9.1%","±2.5","10.6%","±2.4","5.6%","±2.4","2.0%","±2.0","16.0%","±3.8","11.0%","±2.6","6.2%","±2.2","0.9%","±1.3","17.6%","±4.6","9.1%","±1.6","7.2%","±2.2","3.6%","±2.3","11.7%","±2.4","7.5%","±2.7","9.4%","±6.7","6.9%","±6.1","7.8%","±3.1"
"    $15,000 to $24,999","10.2%","±2.0","7.6%","±2.4","6.2%","±2.6","12.0%","±3.2","10.9%","±2.4","9.8%","±2.7","6.0%","±3.6","12.1%","±3.3","12.4%","±2.3","13.6%","±3.2","10.5%","±6.0","12.2%","±4.2","10.3%","±1.6","10.5%","±2.3","5.9%","±2.6","9.7%","±2.5","6.5%","±1.7","3.9%","±2.4","2.9%","±2.3","6.2%","±1.9"
"    $25,000 to $34,999","5.2%","±1.6","7.1%","±2.5","3.1%","±2.1","3.9%","±2.0","8.8%","±2.0","10.9%","±3.6","9.4%","±4.4","7.0%","±2.7","14.0%","±2.5","15.5%","±3.4","16.0%","±5.8","12.5%","±4.3","6.7%","±1.4","6.8%","±1.8","3.8%","±2.0","5.8%","±1.9","7.0%","±2.0","6.9%","±4.2","8.3%","±5.3","7.2%","±2.2"
"    $35,000 to $49,999","5.9%","±1.4","7.0%","±1.9","4.2%","±1.9","5.1%","±2.0","12.8%","±2.4","15.0%","±3.7","12.7%","±4.2","10.5%","±3.1","9.2%","±2.3","11.5%","±3.3","10.8%","±5.9","6.3%","±3.0","9.6%","±1.6","11.4%","±2.4","9.6%","±3.6","8.7%","±2.4","9.0%","±2.6","8.0%","±7.0","3.0%","±2.3","9.3%","±2.7"
"    $50,000 to $74,999","10.8%","±2.5","9.6%","±3.2","6.3%","±3.5","11.6%","±3.3","11.1%","±2.0","12.7%","±3.2","13.1%","±4.9","9.4%","±2.7","13.0%","±2.4","14.5%","±3.4","19.0%","±8.5","11.1%","±3.4","13.0%","±1.8","15.7%","±2.9","14.0%","±3.4","10.7%","±2.4","11.0%","±2.3","8.7%","±4.6","5.4%","±3.1","11.6%","±2.8"
"    $75,000 to $99,999","6.7%","±1.4","6.2%","±2.4","4.0%","±2.1","7.0%","±1.8","7.4%","±1.7","8.9%","±2.5","9.4%","±4.1","5.3%","±1.7","7.8%","±1.9","8.9%","±2.2","8.7%","±4.6","5.7%","±3.4","10.1%","±1.6","13.6%","±2.9","16.6%","±4.0","6.8%","±2.0","9.2%","±2.1","10.5%","±5.2","11.2%","±5.2","8.6%","±2.4"
"    $100,000 to $149,999","8.9%","±1.6","9.1%","±2.4","13.4%","±3.5","9.3%","±2.2","9.4%","±1.6","12.8%","±2.9","20.7%","±5.7","6.4%","±2.3","10.3%","±2.4","9.2%","±3.0","13.1%","±5.4","9.2%","±3.8","14.4%","±1.8","16.0%","±2.6","23.9%","±4.1","11.2%","±2.6","12.2%","±2.1","12.5%","±4.8","15.5%","±6.3","12.1%","±2.5"
"    $150,000 to $199,999","10.3%","±1.7","9.4%","±2.9","13.0%","±4.6","11.1%","±2.3","4.7%","±1.6","7.1%","±3.1","16.8%","±7.0","1.5%","±0.9","3.7%","±1.5","4.5%","±1.9","7.2%","±4.9","1.8%","±1.8","7.7%","±1.5","5.5%","±1.4","8.9%","±2.5","9.3%","±2.5","7.4%","±1.8","12.7%","±6.0","16.0%","±7.4","5.9%","±1.7"
"    $200,000 or more","21.4%","±2.7","30.7%","±4.4","45.1%","±5.5","14.4%","±3.0","2.3%","±0.8","2.9%","±1.3","6.3%","±3.2","1.4%","±1.0","2.9%","±1.1","3.4%","±1.6","10.7%","±5.4","1.9%","±1.7","8.5%","±1.5","8.8%","±1.7","12.0%","±2.7","8.1%","±2.5","8.8%","±2.4","22.3%","±7.1","28.5%","±9.8","4.9%","±2.3"
"Median income (dollars)","67,805","±9,324","93,125","±30,898","175,595","±24,125","54,834","±7,293","31,900","±2,576","44,320","±4,503","90,000","±21,006","17,634","±4,208","32,500","±2,370","37,017","±5,015","55,107","±10,845","24,094","±4,732","57,649","±6,920","66,310","±5,181","91,269","±9,020","42,940","±5,398","45,856","±8,741","96,356","±16,686","128,553","±33,960","39,590","±4,104"
"Mean income (dollars)","138,217","±10,195","187,783","±20,884","N","N","101,472","±10,814","52,499","±3,720","65,907","±7,145","N","N","36,362","±3,959","55,135","±4,748","59,031","±5,850","N","N","45,173","±8,679","84,295","±5,348","91,189","±7,471","N","N","74,768","±8,094","81,199","±8,272","137,990","±25,412","N","N","64,937","±7,767"
"PERCENT ALLOCATED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Household income in the past 12 months","34.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","46.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","46.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","45.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","26.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
