"Label (Grouping)","Boston city, Massachusetts!!Estimate","Boston city, Massachusetts!!Margin of Error","Boston city, Massachusetts!!Percent","Boston city, Massachusetts!!Percent Margin of Error"
"HOUSING OCCUPANCY","","","",""
"    Total housing units","307,836","±2,467","307,836","(X)"
"        Occupied housing units","284,061","±3,318","92.3%","±1.0"
"        Vacant housing units","23,775","±3,292","7.7%","±1.0"
"        Homeowner vacancy rate","0.7","±0.5","(X)","(X)"
"        Rental vacancy rate","3.9","±0.9","(X)","(X)"
"UNITS IN STRUCTURE","","","",""
"    Total housing units","307,836","±2,467","307,836","(X)"
"        1-unit, detached","36,617","±3,005","11.9%","±1.0"
"        1-unit, attached","18,819","±2,198","6.1%","±0.7"
"        2 units","37,407","±3,246","12.2%","±1.0"
"        3 or 4 units","71,112","±4,058","23.1%","±1.3"
"        5 to 9 units","37,703","±3,579","12.2%","±1.2"
"        10 to 19 units","22,635","±2,259","7.4%","±0.7"
"        20 or more units","82,682","±4,103","26.9%","±1.3"
"        Mobile home","823","±523","0.3%","±0.2"
"        Boat, RV, van, etc.","38","±69","0.0%","±0.1"
"YEAR STRUCTURE BUILT","","","",""
"    Total housing units","307,836","±2,467","307,836","(X)"
"        Built 2020 or later","4,755","±1,423","1.5%","±0.5"
"        Built 2010 to 2019","32,551","±3,297","10.6%","±1.1"
"        Built 2000 to 2009","20,029","±2,526","6.5%","±0.8"
"        Built 1990 to 1999","12,511","±2,208","4.1%","±0.7"
"        Built 1980 to 1989","17,565","±2,236","5.7%","±0.7"
"        Built 1970 to 1979","24,489","±2,906","8.0%","±0.9"
"        Built 1960 to 1969","22,479","±2,629","7.3%","±0.9"
"        Built 1950 to 1959","21,280","±2,544","6.9%","±0.8"
"        Built 1940 to 1949","14,587","±1,906","4.7%","±0.6"
"        Built 1939 or earlier","137,590","±5,739","44.7%","±1.8"
"ROOMS","","","",""
"    Total housing units","307,836","±2,467","307,836","(X)"
"        1 room","19,884","±2,184","6.5%","±0.7"
