Name,Non-Hispanic White alone,Non-Hispanic Black or African American alone,"Non-Hispanic Asian, Native Hawaiian and Pacific Islander alone",Hispanic or Latino,Others,Total
Allston,12443,1516,5194,2958,891,23000
Back Bay,12361,736,2028,1761,597,17483
Bay Village,,,,,,
Brighton,30965,2379,8046,5993,2220,49603
Charlestown,14388,1220,2216,1862,725,20411
Dorchester,28157,51088,11250,25366,9004,124865
East Boston,15714,1133,2030,25247,1377,45501
Fenway,18419,1546,6920,4332,1922,33139
Harbor Islands,85,87,2,146,20,340
Hyde Park,8672,16943,709,11409,1218,38951
Jamaica Plain,22635,5773,2340,9734,1837,42319
Leather District,,,,,,
Longwood Medical Area,3684,346,697,399,248,5374
Mattapan,1389,19418,450,4070,1611,26938
Mission Hill,6456,2733,2871,3008,603,15671
North End,8448,253,416,707,76,9900
Roslindale,15392,6572,649,7432,1549,31594
Roxbury,7922,24560,2251,15216,3450,53399
South Boston,27156,1381,2292,3359,1078,35266
South Boston Waterfront,3754,101,464,143,124,4586
South End,16194,3177,4909,4274,1549,30103
West End,4815,436,849,883,390,7373
West Roxbury,20898,3934,2517,3272,1475,32096
