Name,Under 18 years,18 to 64 years,65 years and over,Total
Allston,24.7,15.2,32.5,17.9
Back Bay,1.36,13.5,16.3,13.1
Bay Village,Nan,Nan,Nan,Nan
Brighton,24.7,15.2,32.5,17.9
Charlestown,15.7,8.66,16,11
Dorchester,28.9,16.5,18.1,19.4
East Boston,22.8,12.6,20.3,15.1
Fenway,25.2,36.9,36.9,36.3
Harbor Islands,Nan,Nan,Nan,Nan
Hyde Park,15.2,9.74,19.1,12.3
Jamaica Plain,24.3,11.3,17.4,14.4
Leather District,,,,
Longwood Medical Area,0,28.6,54.8,29.1
Mattapan,27,12.1,14.1,16
Mission Hill,49.2,36.9,44.5,39.1
North End,13.9,8.59,13.3,9.33
Roslindale,11.8,8.9,13.6,10
Roxbury,37.1,22.9,36.9,27.5
South Boston,24.5,9.47,17.7,11.9
South Boston Waterfront,0,2.67,3.15,2.56
South End,26.8,18.9,27.6,21
