OBJECTID,Zipcode,ShapeSTArea,ShapeSTLength
1,02134,37219357.2783462,40794.1823960291
2,02125,64760516.6134876,62224.5214399312
3,02110,6637283.7551702,18358.2134956613
4,02118,31161577.0723611,32353.4076175662
5,02126,60785850.3067847,45488.3947112756
6,02109,5536731.43975396,22538.3058417632
7,02021,2361.90499745108,432.194702209486
8,02113,2807327.85294203,8507.45997103111
9,02130,105221153.025233,64225.0222102132
10,02121,48905922.2431211,35217.581923274
11,02119,44511498.5271089,37680.7020992483
12,02115,19771296.0351486,34806.5840219232
13,02163,3271313.24096202,7298.78194324339
14,02135,78620825.9237355,61170.6309380136
15,02199,1603177.3633592,5140.73082166573
16,02459,24832.7567307594,9295.15063850231
17,02124,85658048.0523347,57673.0077469532
18,02132,129360685.457809,68024.5717104854
19,02114,12538634.2145382,27934.5314212059
20,02108,6162153.07362273,18485.0401292129
21,02136,128128953.259237,65353.7578293606
22,02111,7823799.34623094,13814.8794940293
23,02210,32373210.0745454,36215.5640183758
24,02116,19117646.1687712,23262.9122729495
25,02131,81688796.5023991,68311.5451217238
26,02127,67536142.744434,51905.2516354126
27,02120,17329493.5491531,28148.2999058715
28,02203,864466.753345954,4052.84608446993
29,02215,25198307.9999267,37861.7313053755
30,02129,42249762.5253518,38078.0954538318
31,02128,147802204.054575,82747.6903234168
32,02122,61086361.3412438,74811.1840080146
33,02151,8707547.7913628,24981.9047949735
34,02186,99.5219558341127,96.8672454772045
35,02026,19174.0300008502,4025.19077198472
36,02152,8873432.58571932,15553.4416026239
37,02467,5696.3894568098,2897.4804510964
38,02467,181.837443343335,229.305717356033
39,02467,2806999.96239174,10562.6932277587
40,02467,1282571.02118964,7052.50472598036
41,02467,8825573.50672097,21844.8834344551
42,02467,4467229.03533499,11198.562891942
43,02467,5059.77165156294,975.833120668708
