Year,LocationName,DataSource,Category,Measure,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text
2019,02215,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,Crude prevalence,21.8,20.3,23.4,26125,POINT (-71.1030423 42.34771039),02215,RISKBEH,LPA,CrdPrv,Physical Inactivity
2018,02215,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,Crude prevalence,13.0,10.4,16.2,26125,POINT (-71.1030423 42.34771039),02215,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost
2018,02215,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,Crude prevalence,71.4,69.0,73.3,26125,POINT (-71.1030423 42.34771039),02215,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening
2018,02215,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,Crude prevalence,35.3,34.1,36.4,26125,POINT (-71.1030423 42.34771039),02215,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours
2019,02215,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,Crude prevalence,2.4,2.2,2.6,26125,POINT (-71.1030423 42.34771039),02215,HLTHOUT,COPD,CrdPrv,COPD
2019,02215,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,Crude prevalence,10.6,9.4,11.8,26125,POINT (-71.1030423 42.34771039),02215,RISKBEH,CSMOKING,CrdPrv,Current Smoking
2019,02215,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,Crude prevalence,9.1,8.3,10.1,26125,POINT (-71.1030423 42.34771039),02215,PREVENT,ACCESS2,CrdPrv,Health Insurance
2019,02215,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,Crude prevalence,10.0,9.2,10.9,26125,POINT (-71.1030423 42.34771039),02215,HLTHSTAT,GHLTH,CrdPrv,General Health
2019,02215,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,Crude prevalence,37.1,36.3,37.9,26125,POINT (-71.1030423 42.34771039),02215,PREVENT,BPMED,CrdPrv,Taking BP Medication
2018,02215,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",Crude prevalence,68.1,66.6,69.3,26125,POINT (-71.1030423 42.34771039),02215,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening
2019,02215,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,Crude prevalence,15.5,14.9,16.1,26125,POINT (-71.1030423 42.34771039),02215,HLTHOUT,OBESITY,CrdPrv,Obesity
2018,02215,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,Crude prevalence,68.9,66.6,71.1,26125,POINT (-71.1030423 42.34771039),02215,PREVENT,DENTAL,CrdPrv,Dental Visit
2019,02215,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,Crude prevalence,1.9,1.9,1.9,26125,POINT (-71.1030423 42.34771039),02215,HLTHOUT,CANCER,CrdPrv,Cancer (except skin)
2019,02215,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,Crude prevalence,7.1,6.6,7.6,26125,POINT (-71.1030423 42.34771039),02215,HLTHSTAT,PHLTH,CrdPrv,Physical Health
2019,02215,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,Crude prevalence,11.1,10.9,11.3,26125,POINT (-71.1030423 42.34771039),02215,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
2019,02215,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,Crude prevalence,7.8,7.6,8.0,26125,POINT (-71.1030423 42.34771039),02215,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis
2019,02215,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,Crude prevalence,19.3,18.0,20.6,26125,POINT (-71.1030423 42.34771039),02215,HLTHSTAT,MHLTH,CrdPrv,Mental Health
2018,02215,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",Crude prevalence,26.6,24.4,28.8,26125,POINT (-71.1030423 42.34771039),02215,PREVENT,COREW,CrdPrv,Core preventive services for older women
2019,02215,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,Crude prevalence,11.8,11.4,12.3,26125,POINT (-71.1030423 42.34771039),02215,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2019,02215,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,Crude prevalence,1.1,1.1,1.2,26125,POINT (-71.1030423 42.34771039),02215,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease
