"AQSID","SiteName","Status","EPARegion","Latitude","Longitude","Elevation","GMTOffset","CountryCode","StateName","ValidDate","ValidTime","DataSource","ReportingArea_PipeDelimited","OZONE_AQI","PM10_AQI","PM25_AQI","NO2_AQI","OZONE_Measured","PM10_Measured","PM25_Measured","NO2_Measured","CO","CO_Unit","PM25","PM25_Unit","SO2","SO2_Unit","OZONE","OZONE_Unit","NO2","NO2_Unit","PM10","PM10_Unit"
"060712002","Fontana - Arrow Highway","Active","R9","34.100132","-117.491982","116.8","-8.0","US","CA","01/21/21","00:00","South Coast AQMD","San Bernardino Co. Metro|C San Bernardino","29.0","","","3.0","1","0","0","1","0.06","PPM","","","0.0","PPB","32.0","PPB","3.0","PPB","",""
"840540110007","HUNTINGTON","Inactive","R3","38.410242","-82.432436","0.0","-5.0","US","WV","01/21/21","00:00","West Virginia Division of Air Quality - Wheeling","Huntington","","","","","1","0","0","0","","","","","","","","","","","",""
"060379033","Lancaster-Division","Active","R9","34.669589","-118.130689","719.5","-8.0","US","CA","01/21/21","00:00","Mojave Desert AQMD","Mojave Desert|Antelope Vly","23.0","30.0","11.0","","1","1","1","0","","","3.0","UG/M3","","","24.0","PPB","","","31.0","UG/M3"
"037364010","JPN Site 037364010","Active","","34.459923","133.995382","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","3.0","PPB","","","","","",""
"060379034","Lebec","Inactive","R9","34.8289","-118.8791","0.0","-8.0","US","CA","01/21/21","00:00","California Air Resources Board","","","","","","1","0","1","0","","","","","","","","","","","",""
"560350099","Boulder","Active","R8","42.7186","-109.7531","2168.2","-7.0","US","WY","01/21/21","00:00","Wyoming Department of Environmental Quality","Boulder|Upper Green River Basin","39.0","0.0","","2.0","1","1","0","1","","","","","","","41.0","PPB","2.0","PPB","-3.0","UG/M3"
"481670697","Coastal Center C697","Inactive","R6","29.38777","-95.041389","6.1","-6.0","US","TX","01/21/21","00:00","Texas Commission on Environmental Quality","","","","","","1","0","0","0","","","","","","","","","","","",""
"090131001","Stafford","Active","R1","41.9756","-72.3867","0.0","-5.0","US","CT","01/21/21","00:00","Connecticut Dept. of Energy and Environmental Protection","Stafford","","","","","0","0","0","0","","","","","","","","","","","",""
"560350097","Wyoming Range","Inactive","R8","42.98","-110.353058","2477.8","-7.0","US","WY","01/21/21","00:00","Wyoming Department of Environmental Quality","","","","","","1","1","1","1","","","","","","","","","","","",""
"060290008","Maricopa - Stanilaus Street","Active","R9","35.0544","-119.4039","0.0","-8.0","US","CA","01/21/21","00:00","San Joaquin Valley Unified APCD","","30.0","","","","1","0","0","0","","","","","","","33.0","PPB","","","",""
"060290007","Edison","Active","R9","35.345607","-118.851825","0.0","-8.0","US","CA","01/21/21","00:00","California Air Resources Board","","28.0","","","3.0","1","0","0","1","","","","","","","34.0","PPB","4.0","PPB","",""
"025201510","JPN Site 025201510","Active","","35.005175","135.863257","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","0.5","PPM","","","","","","","","","",""
"026109010","JPN Site 026109010","Active","","34.935459","135.761324","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","1.0","PPB","","","","","",""
"JDA010001","Jeddah","Active","DSSA","21.543486","39.172989","0.0","3.0","SA","N/A","01/21/21","00:00","U.S. Department of State Saudi Arabia - Jeddah","Jeddah","","","77.0","","0","0","1","0","","","26.0","UG/M3","","","","","","","",""
"027321010","JPN Site 027321010","Active","","34.922122","135.491347","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"009210010","JPN Site 009210010","Active","","36.870882","140.016159","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"482511063","Mansfield Flying L Lane C1063","Active","R6","32.5418","-97.1175","195.2","-6.0","US","TX","01/21/21","00:00","Texas Commission on Environmental Quality","","","","","","0","0","0","0","","","","","","","","","","","",""
"410330114","Grants Pass - Parkside School","Active","R10","42.434149","-123.348466","280.0","-8.0","US","OR","01/21/21","00:00","Oregon Dept. of Environmental Quality","Grants Pass","","","24.0","","0","0","1","0","","","6.0","UG/M3","","","","","","","",""
"012481090","JPN Site 012481090","Active","","35.424371","140.068999","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"009209010","JPN Site 009209010","Active","","36.440372","140.012569","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","0.0","PPB","","","","","",""
"027104010","JPN Site 027104010","Active","","34.682703","135.452195","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","3.0","PPB","","","","","",""
"013103510","JPN Site 013103510","Active","","35.636564","139.738462","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"060371103","Los Angeles - N. Main Street","Active","R9","34.066429","-118.226755","30.5","-8.0","US","CA","01/21/21","00:00","South Coast AQMD","W San Gabriel Vly|Central LA CO","27.0","25.0","28.0","11.0","1","1","1","1","0.1","PPM","8.0","UG/M3","0.0","PPB","33.0","PPB","12.0","PPB","35.0","UG/M3"
"060851001","Los Gatos","Active","R9","37.2267","-121.9786","35.4","-8.0","US","CA","01/21/21","00:00","San Francisco Bay Area AQMD","","26.0","","","","1","0","0","0","","","","","","","29.0","PPB","","","",""
"483095010","Waco KACT C5010","Active","R6","31.6172","-97.2278","152.5","-6.0","US","TX","01/21/21","00:00","Texas Commission on Environmental Quality","","","","","","0","0","0","0","","","","","","","","","","","",""
"060290011","Mojave - 923 Poole St.","Active","R9","35.05045","-118.14778","0.0","-8.0","US","CA","01/21/21","00:00","California Air Resources Board","","","","","","1","1","1","0","","","","","","","","","","","",""
"060290010","Bakersfield - Golden State Highway","Inactive","R9","35.3853","-119.014702","0.0","-8.0","US","CA","01/21/21","00:00","San Joaquin Valley Unified APCD","Bakersfield","","","","","1","0","0","0","","","","","","","","","","","",""
"060290015","Ridgecrest - California Ave","Inactive","R9","35.621113","-117.673058","0.0","-8.0","US","CA","01/21/21","00:00","California Air Resources Board","","","","","","0","0","0","0","","","","","","","","","","","",""
"060290014","Bakersfield - California Ave","Active","R9","35.356615","-119.062613","0.0","-8.0","US","CA","01/21/21","00:00","California Air Resources Board","Bakersfield","24.0","","35.0","5.0","1","0","1","1","","","8.0","UG/M3","","","29.0","PPB","5.0","PPB","",""
"480391003","Clute C11","Active","R6","29.0111","-95.3975","3.1","-6.0","US","TX","01/21/21","00:00","Texas Commission on Environmental Quality","","","","","","0","0","0","0","","","","","","","","","","","",""
"471636001","Eastman Ross N Robinson","Active","R4","36.532616","-82.516303","404.4","-5.0","US","TN","01/21/21","00:00","Tennessee Air Pollution Control Div.","","","","","","0","0","0","0","","","","","1.0","PPB","","","","","",""
"480391004","Manvel Croix Park C84","Active","R6","29.5203","-95.3925","0.0","-6.0","US","TX","01/21/21","00:00","Texas Commission on Environmental Quality","Houston-Galveston-Brazoria","15.0","","","","1","0","0","1","","","","","","","18.0","PPB","","","",""
"471636002","Skyland Drive","Active","R4","36.52102","-82.516306","530.7","-5.0","US","TN","01/21/21","00:00","Tennessee Air Pollution Control Div.","","","","","","0","0","0","0","","","","","1.0","PPB","","","","","",""
"060953002","Vacaville","Active","R9","38.3525","-121.9617","0.0","-8.0","US","CA","01/21/21","00:00","Yolo-Solano AQMD","Vacaville","27.0","","10.0","","1","0","1","0","","","2.0","UG/M3","","","34.0","PPB","","","",""
"020201510","JPN Site 020201510","Active","","36.594768","138.187991","0.0","9.0","","AK","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","0.4","PPM","","","","","","","","","",""
"HC1010001","Ho Chi Minh City","Active","DSVM","10.782773","106.700035","20.1","7.0","VM","N/A","01/21/21","00:00","U.S. Department of State Vietnam - Ho Chi Minh","Ho Chi Minh City","","","155.0","","0","0","1","0","","","70.0","UG/M3","","","","","","","",""
"060392010","Madera-City","Active","R9","36.9533","-120.0341","0.0","-8.0","US","CA","01/21/21","00:00","San Joaquin Valley Unified APCD","Madera","28.0","43.0","38.0","","1","1","1","0","","","11.0","UG/M3","","","36.0","PPB","","","51.1","UG/M3"
"026212010","JPN Site 026212010","Active","","35.628984","135.070516","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"390290022","East Liverpool","Inactive","R5","40.635275","-80.546642","0.0","-5.0","US","OH","01/21/21","00:00","Ohio EPA-DAPC","","","","","","0","0","0","0","","","","","","","","","","","",""
"034202010","JPN Site 034202010","Active","","34.257976","132.573565","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","7.0","PPB","","","","","",""
"483390078","Conroe Relocated C78","Active","R6","30.3503","-95.425","42.7","-6.0","US","TX","01/21/21","00:00","Texas Commission on Environmental Quality","Houston-Galveston-Brazoria","23.0","","57.0","","1","0","1","1","","","15.9","UG/M3","","","31.0","PPB","","","",""
"022423010","JPN Site 022423010","Active","","34.743022","138.221962","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"034304010","JPN Site 034304010","Active","","34.366574","132.529119","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","5.0","PPB","","","","","",""
"390290020","E Liverpool - Met","Inactive","R5","40.6397","-80.5329","0.0","-5.0","US","OH","01/21/21","00:00","Ohio EPA-DAPC","","","","","","0","0","0","0","","","","","","","","","","","",""
"026110010","JPN Site 026110010","Active","","34.98851","135.812151","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","1.0","PPB","","","","","",""
"360450002","Perch River","Active","R2","44.0878","-75.9744","0.0","-5.0","US","NY","01/21/21","00:00","New York Dept. of Environmental Conservation","Eastern Lake Ontario Region","22.0","","","","1","0","0","0","","","","","","","23.0","PPB","","","",""
"391514005","Alliance","Inactive","R5","40.931398","-81.123519","0.0","-5.0","US","OH","01/21/21","00:00","Ohio EPA-DAPC","Canton/Massillon","","","","","1","0","0","0","","","","","","","","","","","",""
"160590005","Salmon Met","Inactive","R10","45.168434","-113.888962","0.0","-7.0","US","ID","01/21/21","00:00","Idaho Department of Environmental Quality","","","","","","0","0","0","0","","","","","","","","","","","",""
"026109030","JPN Site 026109030","Active","","34.945459","135.807153","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"160590004","Salmon PM2.5","Active","R10","45.181907","-113.890285","1200.2","-7.0","US","ID","01/21/21","00:00","Idaho Department of Environmental Quality","Salmon","","","42.0","","0","0","1","0","","","12.0","UG/M3","","","","","","","",""
"281619991","Coffeeville","Active","R3","34.0026","-89.799","133.9","-6.0","US","MS","01/21/21","00:00","EPA Office of Atmospheric Programs","","28.0","","","","1","0","0","0","","","","","","","28.0","PPB","","","",""
"470450004","DYERSBURG","Active","R4","36.0528","-89.3819","0.0","-6.0","US","TN","01/21/21","00:00","Tennessee Air Pollution Control Div.","","","","28.0","","0","0","1","0","","","10.0","UG/M3","","","","","","","",""
"037201090","JPN Site 037201090","Active","","34.331328","134.118711","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","1.0","PPB","","","","","",""
"371210004","Spruce Pine","Active","R4","35.912487","-82.062082","0.0","-5.0","US","NC","01/21/21","00:00","North Carolina DEQ - Division of Air Quality","Mitchell County|Avery County|Yancey County","","","19.0","","0","0","1","0","","","6.0","UG/M3","","","","","","","",""
"009201108","JPN Site 009201108","Active","","36.602854","139.937289","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"012481070","JPN Site 012481070","Active","","35.364654","140.008174","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"040190020","Rillito","Active","R9","32.414342","-111.154544","626.2","-7.0","US","AZ","01/21/21","00:00","Arizona Department of Environmental Quality","","","59.0","","","0","1","0","0","","","","","","","","","","","119.0","UG/M3"
"017201320","JPN Site 017201320","Active","","36.594464","136.677005","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","2.0","PPB","","","","","",""
"020201520","JPN Site 020201520","Active","","36.649762","138.191321","0.0","9.0","","AK","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"040190021","Saguaro Monument","Active","R9","32.1764","-110.7378","0.0","-7.0","US","AZ","01/21/21","00:00","Pima County Department of Environmental Quality","Tucson","31.0","","","","1","0","0","0","","","","","","","35.0","PPB","","","",""
"009201100","JPN Site 009201100","Active","","36.56619","139.92007","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"230031008","Presque Isle Regional Office","Inactive","R1","46.69838","-68.038933","0.0","-5.0","US","ME","01/21/21","00:00","Maine Dept. of Environmental Protection","Ashland","","","","","0","0","0","0","","","","","","","","","","","",""
"371910005","DILLARD","Inactive","R4","35.3692","-77.9939","32.9","-5.0","US","NC","01/21/21","00:00","North Carolina DEQ - Division of Air Quality","","","","","","0","0","1","0","","","","","","","","","","","",""
"470654003","Eastside","Active","R4","35.1028","-85.1622","0.0","-5.0","US","TN","01/21/21","00:00","Chattanooga-Hamilton County Air Pollution Control Bureau","Chattanooga","","","","","1","0","0","0","","","","","","","","","","","",""
"470654002","Riverside","Active","R4","35.0508","-85.2931","0.0","-5.0","US","TN","01/21/21","00:00","Chattanooga-Hamilton County Air Pollution Control Bureau","Chattanooga","","","19.0","","0","0","1","0","","","5.0","UG/M3","","","","","","","",""
"390610006","Sycamore","Active","R5","39.2787","-84.36612","298.9","-5.0","US","OH","01/21/21","00:00","Ohio EPA-DAPC","Cincinnati","","","28.0","","0","0","1","0","","","6.8","UG/M3","","","","","","","",""
"023303020","JPN Site 023303020","Active","","35.152403","137.064817","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","1.0","PPB","","","","","",""
"014216020","JPN Site 014216020","Active","","35.488519","139.407385","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"340170006","Bayonne","Active","R2","40.67025","-74.126083","2.7","-5.0","US","NJ","01/21/21","00:00","New Jersey Dept. of Environmental Protection","Elizabeth|Jersey City|East Orange|Newark|Union City|Bayonne|New Jersey","25.0","","","6.0","1","0","0","1","","","","","0.0","PPB","28.0","PPB","6.0","PPB","",""
"220470009","Bayou Plaquemine","Active","R6","30.2211","-91.3153","0.0","-6.0","US","LA","01/21/21","00:00","Louisiana Department of Environmental Quality","Baton Rouge Area","24.0","","","","1","0","0","0","","","","","","","15.0","PPB","","","",""
"320GT1010001","Guatemala City","Active","DSGT","14.989397","-90.522408","0.0","-6.0","GT","N/A","01/21/21","00:00","U.S. Department of State Guatemala - Guatemala City","Guatemala City","","","31.0","","0","0","1","0","","","7.0","UG/M3","","","","","","","",""
"012481080","JPN Site 012481080","Active","","35.390207","140.033726","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","10.0","PPB","","","","","",""
"410399004","Cottage Grove City Shops","Active","R10","43.7995","-123.0535","198.3","-8.0","US","OR","01/21/21","00:00","Lane Regional Air Protection Agency","Cottage Grove","","","35.0","","0","0","1","0","","","9.3","UG/M3","","","","","","","",""
"220470007","Grosse Tete","Inactive","R6","30.399401","-91.418297","0.0","-6.0","US","LA","01/21/21","00:00","Louisiana Department of Environmental Quality","Baton Rouge Area","","","","","1","0","0","0","","","","","","","","","","","",""
"017201310","JPN Site 017201310","Active","","36.597518","136.604233","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"009201110","JPN Site 009201110","Active","","36.53425","139.979511","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"011205020","JPN Site 011205020","Active","","35.954861","139.603736","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"250150103","AMHERST","Inactive","R1","42.4006","-72.5236","0.0","-5.0","US","MA","01/21/21","00:00","Massachusetts Dept. of Environmental Protection","Ware - Quabbin Summit|Amherst","","","","","1","0","0","0","","","","","","","","","","","",""
"320070005","Elko","Active","R9","40.838329","-115.766003","1560.1","-8.0","US","NV","01/21/21","00:00","Nevada Division of Environmental Protection","Elko","","8.0","","","0","1","0","0","","","","","","","","","","","9.0","UG/M3"
"012206140","JPN Site 012206140","Active","","35.368266","140.067613","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"170830117","JERSEYVL","Active","R5","39.101439","-90.344494","0.0","-6.0","US","IL","01/21/21","00:00","Illinois EPA","","","","14.0","","1","0","1","0","","","5.4","UG/M3","","","","","","","",""
"028213010","JPN Site 028213010","Active","","34.993217","134.969165","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","1.0","PPB","","","","","",""
"390610010","Colerain","Active","R5","39.21494","-84.69086","0.0","-5.0","US","OH","01/21/21","00:00","Ohio EPA-DAPC","Cincinnati","","","33.0","","0","0","1","0","","","8.1","UG/M3","0.0","PPB","","","","","",""
"045203020","JPN Site 045203020","Active","","32.617024","131.668715","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","1.0","PPB","","","","","",""
"220331001","Baker","Inactive","R6","30.5872","-91.207199","0.0","-6.0","US","LA","01/21/21","00:00","Louisiana Department of Environmental Quality","Baton Rouge Area","","","","","1","0","0","0","","","","","","","","","","","",""
"012481050","JPN Site 012481050","Active","","35.41687","140.002616","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","4.0","PPB","","","","","",""
"000100202","PRG Plaza 400","Active","CA","53.9147","-122.7419","601.5","-8.0","CA","CC","01/21/21","00:00","British Columbia Ministry of Environment","","25.0","","15.0","9.0","1","1","1","1","","","4.0","UG/M3","0.0","PPB","26.0","PPB","10.0","PPB","",""
"000100203","PRG BC Rail Warehouse","Active","CA","53.8711","-122.7436","590.5","-8.0","CA","CC","01/21/21","00:00","British Columbia Ministry of Environment","","","","","","0","1","0","0","","","","","","","","","","","",""
"017201300","JPN Site 017201300","Active","","36.589464","136.637286","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"060610006","Roseville - N.Sunrise/Douglas","Active","R9","38.74643","-121.26498","0.0","-8.0","US","CA","01/21/21","00:00","California Air Resources Board","Roseville-Rocklin","25.0","20.0","18.0","8.0","1","1","1","1","","","3.0","UG/M3","","","27.0","PPB","9.0","PPB","22.2","UG/M3"
"000100205","PRG Gladstone School","Active","CA","53.8583","-122.7608","583.5","-8.0","CA","CC","01/21/21","00:00","British Columbia Ministry of Environment","","","","","","0","1","1","0","","","","","","","","","","","",""
"060610004","Colfax","Active","R9","39.1003","-120.9528","0.0","-8.0","US","CA","01/21/21","00:00","Placer County APCD","Colfax","31.0","","7.0","","1","0","1","0","","","3.0","UG/M3","","","31.0","PPB","","","",""
"060610002","Auburn","Active","R9","38.937801","-121.103897","0.0","-8.0","US","CA","01/21/21","00:00","Placer County APCD","Auburn","31.0","","10.0","","1","0","1","0","","","2.0","UG/M3","","","34.0","PPB","","","",""
"001213610","JPN Site 001213610","Active","","42.636959","141.600762","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"011205030","JPN Site 011205030","Active","","35.943197","139.660954","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"028201030","JPN Site 028201030","Active","","34.800177","134.677254","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","0.0","PPB","","","","","",""
"291570001","Farrar","Active","R7","37.70264","-89.69864","151.6","-6.0","US","MO","01/21/21","00:00","Missouri Department of Natural Resources","Farrar","","","","","1","0","0","0","","","","","","","","","","","",""
"000020401","SOUTHAMPTON","Active","CA","46.3864","-62.5828","15.3","-4.0","CA","CC","01/21/21","00:00","Environment Canada","","27.0","","9.0","0.0","1","0","1","1","","","2.0","UG/M3","","","29.0","PPB","0.0","PPB","",""
"007208090","JPN Site 007208090","Active","","37.662739","139.869746","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"022447010","JPN Site 022447010","Active","","34.669416","138.05198","0.0","9.0","","N/A","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","","","","","","","",""
"010211060","JPN Site 010211060","Active","","36.333697","138.893222","0.0","9.0","","AL","01/21/21","00:00","Japan Ministry of Environment","","","","","","0","0","0","0","","","","","2.0","PPB","","","","","",""
