"Label (Grouping)","ZCTA5 02118!!Number!!Estimate","ZCTA5 02118!!Number!!Margin of Error","ZCTA5 02118!!Percent Distribution!!Estimate","ZCTA5 02118!!Percent Distribution!!Margin of Error","ZCTA5 02118!!Mean income (dollars)!!Estimate","ZCTA5 02118!!Mean income (dollars)!!Margin of Error","ZCTA5 02119!!Number!!Estimate","ZCTA5 02119!!Number!!Margin of Error","ZCTA5 02119!!Percent Distribution!!Estimate","ZCTA5 02119!!Percent Distribution!!Margin of Error","ZCTA5 02119!!Mean income (dollars)!!Estimate","ZCTA5 02119!!Mean income (dollars)!!Margin of Error","ZCTA5 02121!!Number!!Estimate","ZCTA5 02121!!Number!!Margin of Error","ZCTA5 02121!!Percent Distribution!!Estimate","ZCTA5 02121!!Percent Distribution!!Margin of Error","ZCTA5 02121!!Mean income (dollars)!!Estimate","ZCTA5 02121!!Mean income (dollars)!!Margin of Error","ZCTA5 02125!!Number!!Estimate","ZCTA5 02125!!Number!!Margin of Error","ZCTA5 02125!!Percent Distribution!!Estimate","ZCTA5 02125!!Percent Distribution!!Margin of Error","ZCTA5 02125!!Mean income (dollars)!!Estimate","ZCTA5 02125!!Mean income (dollars)!!Margin of Error","ZCTA5 02215!!Number!!Estimate","ZCTA5 02215!!Number!!Margin of Error","ZCTA5 02215!!Percent Distribution!!Estimate","ZCTA5 02215!!Percent Distribution!!Margin of Error","ZCTA5 02215!!Mean income (dollars)!!Estimate","ZCTA5 02215!!Mean income (dollars)!!Margin of Error"
"HOUSEHOLD INCOME","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    All households","13,672","±658","13,672","±658","136,215","±11,581","11,738","±681","11,738","±681","53,861","±4,395","10,740","±739","10,740","±739","64,890","±7,553","13,063","±506","13,063","±506","86,598","±5,891","8,055","±632","8,055","±632","85,058","±8,565"
"        With earnings","10,850","±609","79.4%","±3.0","150,883","±13,365","7,901","±620","67.3%","±3.8","66,690","±6,417","8,181","±730","76.2%","±4.0","71,577","±8,665","10,285","±511","78.7%","±2.9","95,881","±5,722","6,682","±585","83.0%","±2.8","96,347","±9,741"
"            With wages or salary income","10,547","±630","77.1%","±3.1","151,888","±13,728","7,648","±557","65.2%","±3.7","65,545","±6,069","8,074","±716","75.2%","±3.8","70,540","±8,902","9,846","±509","75.4%","±3.1","96,402","±5,617","6,425","±592","79.8%","±3.1","96,718","±9,769"
"            With self-employment income","790","±231","5.8%","±1.7","44,445","±14,539","882","±338","7.5%","±2.7","29,060","±8,843","622","±266","5.8%","±2.4","25,780","±10,880","1,391","±298","10.6%","±2.2","26,573","±5,789","811","±227","10.1%","±2.9","27,594","±17,075"
"        With interest, dividends, or net rental income","2,720","±340","19.9%","±2.6","49,166","±19,685","1,555","±345","13.2%","±2.9","12,514","±3,146","1,214","±244","11.3%","±2.4","15,198","±3,208","1,837","±286","14.1%","±2.2","24,454","±11,452","1,483","±223","18.4%","±3.1","8,541","±3,153"
"        With Social Security income","2,580","±498","18.9%","±3.4","13,178","±1,710","3,162","±434","26.9%","±3.5","13,266","±1,424","2,768","±424","25.8%","±3.6","14,603","±1,659","2,803","±354","21.5%","±2.7","15,969","±1,184","668","±208","8.3%","±2.6","12,613","±2,527"
"        With Supplemental Security Income (SSI)","1,403","±335","10.3%","±2.3","8,871","±1,465","1,775","±376","15.1%","±3.1","8,688","±708","1,465","±359","13.6%","±3.3","10,303","±1,173","1,178","±266","9.0%","±1.9","10,554","±871","212","±78","2.6%","±1.0","7,283","±1,848"
"        With cash public assistance income or Food Stamps/SNAP","3,210","±511","23.5%","±3.2","(X)","(X)","4,166","±475","35.5%","±3.6","(X)","(X)","3,894","±536","36.3%","±4.5","(X)","(X)","3,193","±332","24.4%","±2.3","(X)","(X)","575","±169","7.1%","±2.0","(X)","(X)"
"            With cash public assistance","693","±401","5.1%","±2.8","2,874","±2,458","719","±224","6.1%","±1.9","2,397","±552","381","±160","3.5%","±1.5","3,866","±868","402","±164","3.1%","±1.2","2,418","±686","140","±67","1.7%","±0.8","6,769","±5,355"
"        With retirement income","1,046","±270","7.7%","±2.0","32,533","±15,774","1,039","±245","8.9%","±2.0","21,672","±6,788","884","±212","8.2%","±1.9","33,183","±11,342","1,263","±230","9.7%","±1.7","23,956","±6,692","233","±93","2.9%","±1.2","52,161","±41,331"
"        With other types of income","586","±206","4.3%","±1.5","15,451","±6,516","446","±142","3.8%","±1.2","9,498","±4,496","588","±205","5.5%","±1.9","11,172","±3,817","705","±187","5.4%","±1.5","16,660","±4,360","296","±111","3.7%","±1.4","18,959","±6,470"
