"Label (Grouping)","ZCTA5 02118!!Number!!Estimate","ZCTA5 02118!!Number!!Margin of Error","ZCTA5 02118!!Percent Distribution!!Estimate","ZCTA5 02118!!Percent Distribution!!Margin of Error","ZCTA5 02118!!Mean income (dollars)!!Estimate","ZCTA5 02118!!Mean income (dollars)!!Margin of Error","ZCTA5 02119!!Number!!Estimate","ZCTA5 02119!!Number!!Margin of Error","ZCTA5 02119!!Percent Distribution!!Estimate","ZCTA5 02119!!Percent Distribution!!Margin of Error","ZCTA5 02119!!Mean income (dollars)!!Estimate","ZCTA5 02119!!Mean income (dollars)!!Margin of Error","ZCTA5 02121!!Number!!Estimate","ZCTA5 02121!!Number!!Margin of Error","ZCTA5 02121!!Percent Distribution!!Estimate","ZCTA5 02121!!Percent Distribution!!Margin of Error","ZCTA5 02121!!Mean income (dollars)!!Estimate","ZCTA5 02121!!Mean income (dollars)!!Margin of Error","ZCTA5 02125!!Number!!Estimate","ZCTA5 02125!!Number!!Margin of Error","ZCTA5 02125!!Percent Distribution!!Estimate","ZCTA5 02125!!Percent Distribution!!Margin of Error","ZCTA5 02125!!Mean income (dollars)!!Estimate","ZCTA5 02125!!Mean income (dollars)!!Margin of Error","ZCTA5 02215!!Number!!Estimate","ZCTA5 02215!!Number!!Margin of Error","ZCTA5 02215!!Percent Distribution!!Estimate","ZCTA5 02215!!Percent Distribution!!Margin of Error","ZCTA5 02215!!Mean income (dollars)!!Estimate","ZCTA5 02215!!Mean income (dollars)!!Margin of Error"
"HOUSEHOLD INCOME","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    All households","13,847","±669","13,847","±669","142,087","±12,265","11,953","±619","11,953","±619","58,959","±5,607","10,718","±644","10,718","±644","70,568","±7,882","12,986","±573","12,986","±573","90,420","±5,811","7,931","±567","7,931","±567","86,609","±9,478"
"        With earnings","10,766","±595","77.7%","±2.7","161,603","±13,383","8,216","±575","68.7%","±3.8","69,238","±6,832","8,132","±565","75.9%","±3.5","78,819","±10,199","10,064","±573","77.5%","±2.6","102,096","±6,586","6,518","±596","82.2%","±2.8","98,418","±10,800"
"            With wages or salary income","10,453","±595","75.5%","±2.8","162,969","±13,830","8,035","±546","67.2%","±3.9","68,771","±6,827","8,014","±569","74.8%","±3.3","77,337","±10,104","9,740","±566","75.0%","±2.9","102,234","±6,588","6,349","±626","80.1%","±3.5","98,474","±10,492"
"            With self-employment income","902","±254","6.5%","±1.8","40,258","±13,763","689","±230","5.8%","±1.8","23,630","±6,509","878","±244","8.2%","±2.3","24,120","±8,030","1,238","±316","9.5%","±2.3","25,637","±6,029","706","±199","8.9%","±2.7","23,056","±13,303"
"        With interest, dividends, or net rental income","2,454","±359","17.7%","±2.6","49,091","±24,604","1,495","±370","12.5%","±3.0","22,307","±15,819","1,137","±206","10.6%","±2.0","12,615","±4,471","1,579","±230","12.2%","±1.8","20,910","±7,752","1,716","±246","21.6%","±3.4","8,053","±2,864"
"        With Social Security income","2,743","±508","19.8%","±3.4","14,094","±1,495","3,310","±443","27.7%","±3.5","13,550","±1,158","2,550","±406","23.8%","±3.4","14,959","±1,429","2,681","±347","20.6%","±2.6","17,162","±1,207","633","±183","8.0%","±2.3","13,764","±2,287"
"        With Supplemental Security Income (SSI)","1,398","±272","10.1%","±1.9","8,854","±1,303","1,715","±403","14.3%","±3.2","8,951","±734","1,578","±280","14.7%","±2.8","10,564","±1,258","1,244","±293","9.6%","±2.2","10,418","±1,007","185","±92","2.3%","±1.2","9,153","±2,257"
"        With cash public assistance income or Food Stamps/SNAP","3,397","±521","24.5%","±3.1","(X)","(X)","4,395","±528","36.8%","±4.2","(X)","(X)","4,317","±515","40.3%","±4.3","(X)","(X)","3,369","±410","25.9%","±2.8","(X)","(X)","544","±165","6.9%","±2.2","(X)","(X)"
"            With cash public assistance","677","±356","4.9%","±2.4","3,736","±2,923","867","±299","7.3%","±2.5","2,062","±772","533","±206","5.0%","±1.8","4,114","±1,144","482","±170","3.7%","±1.3","3,814","±2,024","141","±65","1.8%","±0.8","6,747","±5,725"
"        With retirement income","1,066","±228","7.7%","±1.7","38,351","±22,971","1,033","±271","8.6%","±2.2","26,455","±8,078","940","±216","8.8%","±2.0","37,658","±9,601","1,427","±267","11.0%","±1.9","25,513","±6,837","308","±104","3.9%","±1.3","40,863","±32,596"
"        With other types of income","870","±217","6.3%","±1.6","14,631","±4,102","909","±285","7.6%","±2.4","14,532","±3,763","757","±193","7.1%","±1.8","11,417","±3,178","839","±186","6.5%","±1.4","19,619","±4,585","406","±126","5.1%","±1.6","18,841","±6,173"
"FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    All families","4,977","±385","4,977","±385","185,843","±25,238","5,725","±503","5,725","±503","78,864","±10,247","6,496","±633","6,496","±633","76,904","±9,692","6,785","±446","6,785","±446","95,767","±8,130","1,572","±315","1,572","±315","162,210","±30,013"
"        No workers","688","±166","13.8%","±3.1","61,511","±45,419","864","±272","15.1%","±4.4","36,064","±27,957","1,139","±364","17.5%","±5.0","23,461","±9,631","951","±265","14.0%","±3.8","27,716","±11,324","34","±31","2.2%","±2.1","N","N"
